pid,label,articulo,pais_de_fabricacion,fecha_de_adquisicion,fecha_de_publicacion,colores,marca,ciudad_de_compra,casa_editorial,pais_de_compra,tema,portada,cancion_asociada_al_objeto,artista,imagenes
Revista_Vogue01,Vogue,Revista ,España,2024-08-01,2024-08-01,"Blanco, Rosado, Verde",Vogue,Madrid,Condé Nast,España,Moda,Un Lugar Feliz,Lady Madrid,Pereza,"Vogue_001, Vogue_002, Vogue_003, Vogue_004, Vogue_005"
Revista_Telva02,Telva,Revista ,España,2025-08-01,2025-08-01,"Rojo, Negro, Blanco",Telva,Madrid,Ediciones Conica,España,Moda,Vistazo de Otoño,Los Tontos,C.Tangana,"Telva_001, Telva_002, Telva_003, Telva_004, Telva_005"
Revista_HolaTS03,Hola! Taylor Swift,Revista ,España,2024-06-30,2024-05-15,"Rosado, Brillantes",Hola! Número Especial,Madrid,Ediciones Hola!,España,Música,Taylor Swift ,Long Live,Taylor Swift,"Taylor Swift_001, Taylor Swift_002, Taylor Swift_003, Taylor Swift_004, Taylor Swift_005, Taylor Swift_006"
Revista_Pop_Star04,Pop Star!,Revista ,Estados Unidos,2010-12-21,2010-12-01,"Morado, Amarillo, Blanco",Pop Star!,Richmond,Popstar Publishing,Estados Unidos,Entretenimiento,"Justin Bieber, Selena Gómez, Nick Jonas, Cody Simpson, Taylor Lautner",Teenage Dream,Katy Perry,"Pop Star_001, Pop Star_002, Pop Star_003, Pop Star_004, Pop Star_005"
Revista_Barbie05,Barbie,Revista ,Colombia,2002-02-15,2002-02-01,"Naranja, Amarillo, Morado, Rosado, Brillantes",Barbie,Bogotá,Editora Cinco Cultural,Colombia ,Entretenimiento,Barbie Rock & Roll,La Calle de Las Sirenas,Kabah,"Barbie_001, Barbie_002, Barbie_003, Barbie_004"
Revista_Tu06,Tú ,Revista ,Colombia,2011-06-25,2011-06-01,"Verde, Azul",Tú,Bogotá,Editorial Televisa,Colombia ,Entretenimiento,Harry Potter,Donde estés llegaré,Alexis y Fido,"Tú_001, Tú_002, Tú_003, Tú_004"
Revista_Teen_Vogue07,Teen Vogue One Direction,Revista ,Inglaterra,2012-12-25,2012-12-01,Azul,Teen Vogue,Londres,Condé Nast,Inglaterra,Música,One Direction,Live While We Are Young,One Direction,"Teen Vogue_001, Teen Vogue_002, Teen Vogue_003"
Revista_Veranda08,Veranda,Revista ,Estados Unidos ,1995-05-04,1995-04-01,"Verde, Azul",Veranda,Nueva York,Hearst Magazines,Estados Unidos,Decoración ,Jardín Secreto,Don't Look Back in Anger,Oasis,"Veranda_001, Veranda_002, Veranda_003, Veranda_004"
Disco_Red01,Red,CD,Estados Unidos ,2012-12-23,2012-10-22,Rojo,Taylor Swift ,Atlanta,Big Machine Records,Estados Unidos,Música,Taylor Swift ,Red,Taylor Swift,"Red_001, Red_002, Red_003, Red_004, Red_005, Red_006"
Disco_Speak_Now02,Speak Now,CD,Estados Unidos ,2010-12-21,2010-10-25,"Blanco, Brillantes, Morado",Taylor Swift ,Washington D.C.,Big Machine Records,Estados Unidos,Música,Taylor Swift ,The Story of Us,Taylor Swift,"Speak Now_001, Speak Now_002, Speak Now_003, Speak Now_004, Speak_005, Speak Now_006, Speak Now_007"
